_id,Series Name,Series Code,Country Name,Country Code,YR1990,YR1991,YR1992,YR1993,YR1994,YR1995,YR1996,YR1997,YR1998,YR1999,YR2000,YR2001,YR2002,YR2003,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014
236,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,Argentina,ARG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
237,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,Armenia,ARM,96.80950165,97.03353882,97.25704193,97.47733307,97.69122314,97.89549255,98.07495117,98.24829102,98.40393066,98.54196167,98.6,98.77830505,98.88726807,98.99806213,99.11672974,99.7,99.39981079,99.56855774,99.73930359,99.87875366,99.8,99.99269867,99.99943542,100,100
238,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,Aruba,ABW,99.8367691,99.89447784,99.94410706,99.97802734,99.99446869,99.99934387,100,100,100,99.99930573,99.99425507,99.97775269,99.94541931,99.90238953,99.8613739,99.8354187,99.83322144,99.83322144,99.85647583,99.89801788,99.94327545,99.97727966,99.99427795,99.99932861,100
239,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,Australia,AUS,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
240,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,Austria,AUT,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
241,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,Azerbaijan,AZE,90.24261475,90.8518219,91.460495,92.06596375,92.6650238,93.2544632,93.83109283,94.39169312,94.93306732,95.45355225,95.95767212,96.45149231,96.94107056,97.43248749,97.93180847,98.45793152,99,99.43753815,99.77122498,99.94055176,99.99275208,100,100,100,100
242,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,"Bahamas, The",BHS,99.8367691,99.89447784,99.94410706,99.97802734,99.99446869,99.99934387,100,100,100,99.99930573,99.99425507,99.97775269,99.94541931,99.90238953,99.8613739,99.8354187,99.83322144,99.83322144,99.85647583,99.89801788,99.94327545,99.97727966,99.99427795,99.99932861,100
243,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,Bahrain,BHR,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100
244,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,Bangladesh,BGD,0,1.754825234,4.044445992,6.330862045,10.4,10.88126087,13.13883305,15.1,17.60270309,19.80413437,20.5,24.16396332,26.33449364,28.50685883,30.4,31.19,35.09561539,36.6,39.59544754,41.87519073,42.49,49.3,48.78899002,54.2,51.4
245,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,Barbados,BRB,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
246,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,Belarus,BLR,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
247,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,Belgium,BEL,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
248,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,Belize,BLZ,71.48844147,72.11994171,72.75091553,73.37867737,74.00003052,74.61177063,75.21068573,75.79358673,76.35725403,76.90003204,77.42643738,77.94255066,78.45442963,78.96813965,79.48975372,80.02532959,80.58094025,81.16101837,81.76346588,82.384552,83.03992065,83.6677475,84.32239532,84.98077393,85.63977051
249,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,Benin,BEN,0,0.012763024,0.042160589,0.173141599,0.508776784,1.007276297,2,2.606499434,3.378870487,4.130352974,4.865468502,5.5,6.310865402,7.033280373,7.763594627,8.507875443,8.5,10.06097031,10.87212181,11.70191669,13.9,12.4,14.5,15.13294983,16.00065041
250,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,Bermuda,BMU,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
251,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,Bhutan,BTN,0,0,0,0.013924782,0.120617464,0.761196613,2.666430473,5.582401276,10.88438797,16.16548729,21.43021774,26.68464851,31.93484688,37.1868782,42.44680786,43.67796456,53.01463318,60.3,63.67379761,69.03321075,74.40753174,79.79304504,87.3,90.58270264,95.98001862
252,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,Bolivia,BOL,0.55046308,3.522018433,6.493039608,9.460855484,26.5,15.37405491,18.31302834,24.548142,29,25.682709,24.932479,28.396318,22.961077,35.7,41.31251907,28.89604,44.017947,46.562379,56.135089,63.500866,58.88364792,66.622957,72.458314,69.338595,71.474067
253,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,Bosnia and Herzegovina,BIH,91.39448547,91.96864319,92.54226685,93.11268616,93.67669678,94.23109436,94.77266693,95.29821777,95.80454254,96.28997803,96.75904083,97.21781158,97.7,98.13463593,98.60198975,99.067276,99.4866333,99.79003906,99.94512177,99.99327087,100,100,100,100,100
254,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,Botswana,BWA,0,2,1.995701194,3.652517557,5.302924156,6.943716526,8.571689606,10.18363857,11.77635956,13.34819126,14.90365601,8.1,17.98975182,19.53251648,21.08318138,22.64781189,24.23247528,25.84160423,42.9,29.12325096,30.7883091,23.87,34.14825439,35.83568192,37.52373123
255,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,Brazil,BRA,55.415374,56.66651535,54.332727,57.204498,62.66307068,62.915861,66.942201,68.817801,72.778247,75.436121,74.32243347,77.62953,80.181746,81.921384,81.507163,83.469462,86.071277,89.070615,91.398435,93.332725,93.63812256,95.784948,97.022847,97.294009,97.839087
256,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,British Virgin Islands,VGB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
257,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,Brunei Darussalam,BRN,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
258,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,Bulgaria,BGR,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
259,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,Burkina Faso,BFA,0,0.011919058,0.025881454,0.6,0.162189066,0.28733325,0.422035903,0.56118238,0.66978544,0.2,0.828848064,0.889895618,0.946709573,0.8,1.071903229,1.15241611,1.252961993,1.377975225,1.525359154,1.691386104,1.4,2.064453125,2.264036179,2.467348099,3
260,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,Burundi,BDI,0,0.117664933,0.228352606,0.339909792,0.446925104,0.554260015,0.641565025,0.712845981,0.9,0.796062171,0.810859144,0.815355897,0.815618992,0.817715108,0.827710927,0.851673007,0.89566803,0.964130461,1.2,1.164439559,1,1.424404979,1.2,1.714198351,2
261,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,Cambodia,KHM,0,0,0,0.024596777,0.141706988,0.567065001,0.94419378,2.834084511,12.29,6.55452013,9,10.21103382,12.02990627,13.85061169,15.67921734,12.6,19.38439369,21.27146721,13.1,25.10899544,18.8,29.00617981,30.96782112,32.93319321,49.2
262,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,Cameroon,CMR,13.30676746,8.7,14.12844181,14.53580761,14.93676376,15.32810497,15.70662689,16.06912613,22,16.73477745,21,18.51273,17.627985,17.92129898,15.5,18.53769112,14,23.4,19.61463356,20.01532745,20.43093491,18.5,21.29197693,21.72995567,22.16855621
263,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,Canada,CAN,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
264,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,Cape Verde,CPV,0,0.036088031,0.253649235,1.072000623,1.679633975,5.585747719,9.479042053,13.35631275,17.21435356,21.05150795,24.87229347,28.68277931,30.80628,36.29711914,40.11310196,44,47.79303741,51.66749191,55.56431198,59.47977829,65.8,67.35172272,71.3007431,75.25349426,79.2068634
265,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,Cayman Islands,CYM,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
266,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,Central African Republic,CAF,0,0,0.011535895,0.023498718,0.065518938,0.3,0.285121292,0.431275368,0.584531128,0.704226971,0.7,0.9005844,0.989379406,1.080007434,1.178535104,1.291029096,1.42355597,1.580550194,1.759915233,1.957923055,1.7,2.394952297,2.626516342,2.861809254,3.097723722
267,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,Chad,TCD,0,0,0,0,0,0,0.01134954,0.1,0.069422446,0.17742759,0.350636363,0.564366102,0.788980007,1.015426993,0.3,1.498086691,1.766432524,2.059245825,2.374429703,2.708256721,3.1,3.416923761,3.784307003,4.155418873,4.527152061
268,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,Channel Islands,CHI,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
269,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,Chile,CHL,62.892651,69.17047882,70.328551,72.37488556,73.96907043,75.5536499,74.767206,78.68113708,82.314483,81.73326111,86.572004,84.72145844,86.20617676,92.810743,89.18717194,90.69558716,96.410445,93.77694702,95.35223389,97.80333,98.29973602,97.781241,99.81681824,98,100
270,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,China,CHN,86.50700378,87.13208771,87.7566452,88.37799072,88.99293518,89.59825897,90.19076538,90.76724243,91.32449341,91.86086273,92.38085938,92.89055634,93.39601898,93.90332031,94.41851807,94.94767761,95.49687195,96.07053375,96.66657257,97.28125,98,98.54933167,99.13972473,99.62411499,100
271,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,Colombia,COL,71,73.21984863,74.03264618,74.84223938,75.64542389,73.6,77.21974182,77.98446655,78.72996521,79.45457458,83.8,80.86076355,81.55447388,82.25001526,82.95345306,89.2,84.40830231,85.17021179,87.470664,84.540784,86.84958,86.35929,87.858058,90.52792,90.499782
272,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,Comoros,COM,3.437713623,6.044400215,8.65055275,11.25349998,13.85003853,16.43696213,19.6,21.56914711,24.1079998,26.62596321,29.12755966,31.61885452,32.5,36.5948143,39.09160995,41.60237122,44.13316345,46.68842697,49.26605988,51.86233521,54.473526,57.09590149,61.4,62.35929108,64.99347687
273,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,"Congo, Dem. Rep.",ZAR,1.097101212,1.136305809,1.17497623,1.210441947,1.239498019,1.258939743,1.265562296,1.256160736,1.227530599,1.178012013,1,1.035940886,0.955521524,0.876935184,0.806248546,0.74952817,0.712840736,1.1,0.710771322,0.739564896,0.783272386,0.838165343,1,0.966593802,0.4
274,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,"Congo, Rep.",COG,18.86177826,18.55095863,18.23960686,17.92504883,17.6040802,17.27349854,16.93009758,16.57067299,16.19201851,15.79247665,15.37656784,14.95035839,14.51991558,14.09130573,13.67059612,14.8,12.877141,12.51489735,12.17502499,9.4,11.54747868,11.25234795,11.7,10.68072987,10.39740562
275,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,Cook Islands,COK,96.4980011,96.68515015,96.87175751,97.05516815,97.23216248,97.39955139,97.5541153,97.69264984,97.81196594,97.91038513,97.99243927,98.06419373,98.1317215,98.20107269,98.27832794,98.36955261,98.87892377,98.61652374,98.77462006,98.95135498,99.14299774,99.34318555,99.55612946,99.77014923,99.98478699
276,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,Costa Rica,CRI,94.85504913,95.07642365,95.29725647,95.51489258,95.72611237,95.92772675,96.11651611,96.28927612,96.44281769,96.57546234,96.69174957,95.769373,96.46564,96.89876,97.58591,97.801975,97.964446,98.166312,98.282766,98.641978,97.734454,97.986184,98.690151,98.921142,98.414246
277,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,Cote d'Ivoire,CIV,94.85504913,95.07642365,95.29725647,95.51489258,95.72611237,95.92772675,96.11651611,96.28927612,96.44281769,96.57546234,96.69174957,95.769373,96.46564,96.89876,97.58591,97.801975,97.964446,98.166312,98.282766,98.641978,97.734454,97.986184,98.690151,98.921142,98.414246
278,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,Croatia,HRV,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
279,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,Cuba,CUB,80.68994904,81.45357513,82.21666718,82.97655487,83.73003387,84.47389221,85.20493317,85.91995239,86.61574554,87.29064941,87.9,88.59741974,89.24141693,89.88725281,90.54098511,91.20868683,91.89642334,92.60861969,93.34319305,94.09640503,94.86453247,95.64385223,96.43061829,97.22112274,98.01223755
280,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,Curacao,CUW,80.68994904,81.45357513,82.21666718,82.97655487,83.73003387,84.47389221,85.20493317,85.91995239,86.61574554,87.29064941,87.9,88.59741974,89.24141693,89.88725281,90.54098511,91.20868683,91.89642334,92.60861969,93.34319305,94.09640503,94.86453247,95.64385223,96.43061829,97.22112274,98.01223755
281,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,Cyprus,CYP,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
282,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,Czech Republic,CZE,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
283,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,Denmark,DNK,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
284,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,Djibouti,DJI,10.60576439,10.63999748,10.67369556,10.7041893,10.72827339,10.74274254,11.1,10.73001957,10.69641781,10.64192677,10.57106972,10.48991203,10.2,10.32096195,10.24530315,10.18361092,9.9,10.12475967,10.12993813,10.153759,10.19249535,10.24241543,10.29979324,10.36089993,10.4226284
285,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,Dominica,DMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
286,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,Dominican Republic,DOM,53.15172577,48.4,57.20292282,59.22504425,61.2407608,63.24686432,65.24014282,67.2173996,69.1754303,76.6,73.788668,76.371045,76.724339,78.599228,80.451235,80.801154,81.994386,91.847523,93.312888,93.900472,94.675536,94.013044,94.211009,95.226213,95.641568
287,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,Ecuador,ECU,72.81343842,73.84090424,74.867836,75.89156342,76.90887451,74.884987,78.91146088,79.89031982,81.980263,82.360124,82.7110672,83.62314606,84.53098297,85.869806,86.35823059,87.718723,89.435963,90.696294,92.140953,91.159456,92.659412,91.161191,92.33289,94.733695,97.054058
288,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,"Egypt, Arab Rep.",EGY,89.13191223,89.72329712,87.9,90.90179443,91.48303223,91.9,92.61346436,93.15624237,93.67979431,94.18245697,95.9,95.1447525,95.61651611,97.8,96.57160187,99.1,97.58255768,98.13894653,99.3,99.21614075,99.63208008,99.87820435,99.97556305,99.99784088,99.8
289,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,El Salvador,SLV,42.7650032,43.530006,46.91600037,48.98802567,51.05363846,51.427518,53.220704,57.17998123,58.631869,56.227835,65.170985,70.068712,71.064874,71.224688,71.896139,72.174217,75.653518,79.511198,79.393669,80.329462,81.498281,83.820242,85.670994,89.999795,90.262428
290,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,Equatorial Guinea,GNQ,29.55875206,30.23721504,30.91514397,31.58986855,32.25818253,32.91688156,33.56276321,34.19261932,34.80324936,35.3929863,35.96635818,36.5294342,37.08827209,37.64894485,38.21751404,38.80005264,39.40262222,40.02966309,40.67906952,41.34712219,42.03008652,43,43.4258461,44.13118362,44.83714294
291,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,Eritrea,ERI,0.088383697,0.425577551,0.76223731,1.095692277,1.422737598,2.1,2.044780254,2.333368063,2.602727175,2.851197958,3.083301783,3.305105209,3,3.742078066,3.969380856,4.21064949,4.471951485,4.75772047,5.065860748,5.392643452,5.734340191,6.087222576,6.447561741,6.811629295,7.176318645
292,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,Estonia,EST,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
293,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,Ethiopia,ETH,0,0,0,0,0,0,0,0,0.01041929,0.023522815,0.4,0.345596373,0.714452982,1.393904448,2.081255674,1.9,3.503923416,4.249741077,5.017929554,5.804760933,6.606506348,4.8,8.239825249,9.063941002,12.2
294,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,Faeroe Islands,FRO,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
295,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,Falkland Islands,FLK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
296,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,Fiji,FJI,60.82672501,61.51377487,62.20029449,62.88360596,63.56050491,64.22779083,64.88226318,65.52070618,66.1399231,66.73825073,67.32021332,67.89186859,68.45929718,69,69.60571289,70.19683838,70.80799866,71.4436264,72.10162354,72.77825928,73.46981049,74.17255402,74.88275146,75.59667206,76.31121826
297,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,Finland,FIN,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
298,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,France,FRA,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
299,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,French Guyana,GUF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,French Polynesia,PYF,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
301,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,Gabon,GAB,21.63550949,22.5389595,23.44187546,24.34158516,25.23488808,26.11857414,26.98944283,27.84428596,28.67990112,29.494627,29.7,31.08104706,31.86487198,32.65053177,33.44408798,34.6,35.07917404,35.93119812,36.80559158,37.69863129,38.60658264,39.5257225,44.9,37.4,42.31358719
302,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,"Gambia, The",GMB,21.39392281,21.08437347,20.77428818,20.46099854,20.14129829,19.81198502,19.46985245,19.11169624,18.73431015,18.33603668,18.19,17.49645424,17.06727982,16.63993835,16.22049713,15.81502151,15.42957878,15.06860256,14.72999859,14.41003704,14.10498905,13.81112671,13.52472115,12.9,12.95998955
303,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,Georgia,GEO,99.07315826,99.16145325,99.24816895,99.33116913,99.40765381,99.47452545,99.52835083,99.5650177,99.58084869,99.58084869,99.57607269,99.55657196,99.7,99.50849915,99.49788666,99.49788666,99.50743866,99.54114532,99.59780121,99.67354584,99.76289368,99.85469055,100,99.97716522,100
304,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,Germany,DEU,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
305,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,Ghana,GHA,0,1.093254089,3.41105032,6,8.033823967,10.33239079,12.61813927,14.88786316,20.9,19.3679657,21.58120728,23.78414726,25.98285294,24.1,30.39183235,32.61423874,34.85667419,37.12358093,38.2,41.7207756,44.04360962,40.9546,48.71910477,48.6,63
306,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,Gibraltar,GIB,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
307,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,Greece,GRC,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
308,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,Greenland,GRL,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
309,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,Grenada,GRD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,Guadeloupe,GLP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
311,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,Guam,GUM,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
312,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,Guatemala,GTM,39.94070053,41.64723206,43.35322571,45.05601883,46.75239944,40.1,50.1131134,51.77103806,53.40973282,54,56.376971,58.22011948,67.08428,66.139352,62.99240494,64.60301208,71.347002,67.8887558,69.56623077,71.26235199,72.97338104,72.113698,76.42527771,78.15868378,74.816634
313,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,Guinea,GIN,0.180391178,0.379923165,0.57892102,0.774714112,0.964097559,1.143866658,1.310816526,1.46174252,1.593439698,1.5,1.798690438,1.88283217,1.962740183,2.044481277,2.134121895,2.8,2.361368895,2.509476185,2.67995429,2.869075298,3.073110104,3.288330555,2.9,3.737413645,3.964441299
314,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,Guinea-Bissau,GNB,0,0.064264201,0.169896871,0.340358853,0.555028081,0.777265131,0.986682951,1.180076718,1.354241848,1.507518649,1.644428492,1.771038055,1.893414021,2.017622948,2.149731636,2.295806646,2.461914301,2.652489662,2.8654356,3.097024441,3.5,3.601215601,3.866360664,4.135234356,4
315,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,Guyana,GUY,58.76516724,59.774189,60.7826767,61.698284,62.7868309,63.77609253,64.75253296,65.71294403,66.65412903,67.57443237,68.47836304,69.37199402,70.26139069,71.15261841,72.05175018,75.5,73.89797974,74.85557556,75.83554077,72.3,77.84767914,78.87238312,79.90455627,80.94044495,84
316,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,Haiti,HTI,0.378551185,1.121074319,1.863063335,2.60184741,3.334222078,3.9,4.766923428,5.460840702,6.135529041,6.789329052,5.2,10.43546,8.676794052,9.30152607,9.934158325,10.58075619,11.7,11.9384861,12.65195465,13.38406658,14.13109303,14.88930416,15.2,16.42436981,17.19438934
317,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,Honduras,HND,25.88168907,28.942844,32.042222,36.343699,42.132272,43.254808,34.068518,37.959886,40.508974,41.926879,43.35386276,45.02339172,34.150908,37.11738,40.095758,42.351097,46.943208,50.448852,55.266458,59.190562,63.869036,65.757091,69.21689,75.782689,76.318906
318,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,"Hong Kong SAR, China",HKG,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
319,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,Hungary,HUN,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
320,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,Iceland,ISL,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
321,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,India,IND,31.92928123,33.5586319,35.18745041,38.7,38.43226242,40.04185104,41.63861847,43.21936417,44.78087997,48.1,47.84576797,43.6,50.86945343,52.38101196,53.90047455,55.43389893,55.7,58.56528473,60.16558075,66,65.7,55.8,72.7,68.37213135,70.02897644
322,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,Indonesia,IDN,43.51702881,32.8,48.24504471,50.60557938,49.4,55.30421829,57.63591003,73.4,62.24802017,64.52357483,66.78275299,69.0316391,71.27629089,84.5,75.77716064,78.04550934,80.33389282,86.1,84.98196411,88.5,89.39,90.4,92.9,93.27557792,94.29
323,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,"Iran, Islamic Rep.",IRN,94.10636139,94.18190765,94.25691986,94.32872772,94.39412689,94.44991302,94.49287415,94.51982117,94.52753448,94.51435852,94.6,94.44496918,94.40089417,94.35865021,94.3243103,94.30393219,94.52935344,94.32771301,94.37420654,94.43933868,94.51939392,94.61062622,94.70932007,94.81174469,94.91478729
324,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,Iraq,IRQ,81.98313904,82.61236572,83.24106598,83.86656189,84.48564148,85.09510803,85.69176483,86.27238464,86.83378601,87.37429047,87.8984375,88.41227722,88.92188263,89.43332672,89.95266724,90.48596954,91.03931427,91.61711884,92.21730042,92.83612061,93.46984863,94.08756319,94.76715088,95.42325592,96.07997894
325,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,Ireland,IRL,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
326,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,Isle of Man,IMY,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
